categoria_dominio,n,%
Educacion musical (general / superior / secundaria),45,23.8
Educacion general / superior (no musical),42,22.2
Otro,38,20.1
Musica tradicional / patrimonio / etnomusicologia,15,7.9
Piano / teclado,11,5.8
Canto / educacion vocal / coral,10,5.3
Musica y bienestar / cognicion / salud,10,5.3
Educacion musical infantil / preescolar,8,4.2
Generacion / transcripcion / MIR de musica,7,3.7
Instrumento de cuerda / arco,3,1.6
