tipo,n,%
Revision sistematica,51,27.0
Propuesta tecnica/Modelo,44,23.3
Empirico/Experimental,37,19.6
Analisis bibliometrico,33,17.5
Scoping review,14,7.4
Conceptual/Ensayo,4,2.1
Actas/Proceedings,3,1.6
Ponencia (conferencia),2,1.1
Editorial,1,0.5
