doc_a,titulo_a,rel_a,doc_b,titulo_b,rel_b,refs_compartidas
157,Teaching activity design and psychological practice of music majors un,B,164,The application of deep reinforcement learning in music teaching inter,A,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,186,Exploring the integration of bite-sized learning: A scoping review of ,B,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,189,21st-century skills in vocal pedagogy: a scoping review,B,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,192,Neuroscience meets the classroom: a scoping review of translational re,C,2
160,The impact of internship experience on the employability of vocational,D,184,From intuition to knowledge: the scientific consolidation of managemen,D,2
160,The impact of internship experience on the employability of vocational,D,207,Artificial intelligence in education: A text mining-based review of th,C,2
160,The impact of internship experience on the employability of vocational,D,213,Music in cultural tourism: insights from a dual approach of scoping re,C,2
177,Whose Intelligence? Whose Music? Critical Reflections on AI in Music E,B,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,2
180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,181,Ten Essential Pillars in Artificial Intelligence for University Scienc,C,2
180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,224,Generative AI in music learning: A mixed-method study of skill develop,B,2
184,From intuition to knowledge: the scientific consolidation of managemen,D,207,Artificial intelligence in education: A text mining-based review of th,C,2
184,From intuition to knowledge: the scientific consolidation of managemen,D,209,A Comprehensive Bibliometric-Systematic Literature Review (B + SLR) of,C,2
186,Exploring the integration of bite-sized learning: A scoping review of ,B,210,Out-of-field teaching—An opportunity for cross-curricular teaching in ,D,2
186,Exploring the integration of bite-sized learning: A scoping review of ,B,213,Music in cultural tourism: insights from a dual approach of scoping re,C,2
189,21st-century skills in vocal pedagogy: a scoping review,B,209,A Comprehensive Bibliometric-Systematic Literature Review (B + SLR) of,C,2
200,Analisis Perkembangan Teknologi dan Tren Terkini Pada Platform Metaver,C,207,Artificial intelligence in education: A text mining-based review of th,C,2
203,The key artificial intelligence technologies in early childhood educat,A,207,Artificial intelligence in education: A text mining-based review of th,C,2
209,A Comprehensive Bibliometric-Systematic Literature Review (B + SLR) of,C,211,Technologies and strategies in collaborative online international lear,D,2
219,Technology-enhanced studio design and creative musicianship: Exploring,B,225,Research on the acceptance of Chinese traditional music and student cu,C,2
