anio,A,B,C,D,total
2017,0,0,0,1,1
2021,0,0,2,0,2
2022,0,0,1,1,2
2023,0,2,2,2,6
2024,1,4,10,2,17
2025,1,11,17,20,49
2026,20,48,29,15,112
