pais_iso,n
CN,54
MY,27
ID,12
ES,11
TH,8
KR,8
US,8
TR,6
PE,6
CO,4
IT,4
JP,4
CL,3
GB,3
AU,3
RO,3
CH,2
TW,2
KZ,2
EC,2
FI,2
IE,2
PK,1
SA,1
AE,1
LU,1
GH,1
DK,1
DE,1
UY,1
MX,1
LY,1
PL,1
BD,1
IL,1
SD,1
BR,1
CA,1
NO,1
ZA,1
SI,1
NL,1
HK,1
GR,1
LB,1
AT,1
IN,1
