categoria_tecnologica,n,%
Otro / sin tecnologia,52,27.5
Metodo bibliometrico,27,14.3
IA generativa / LLM,18,9.5
Apps moviles / plataformas / TIC,17,9.0
Deep learning (CNN/RNN/Transformer),17,9.0
Vision por computador / pose / gesto,14,7.4
Realidad virtual / aumentada / XR,11,5.8
Aprendizaje por refuerzo (RL/DRL),8,4.2
Multimodal / afectivo,6,3.2
Sistemas de recomendacion / rutas / ITS,6,3.2
Audio / MIR / procesamiento de senal,5,2.6
Wearables / sensores,4,2.1
Gamificacion / juegos serios,4,2.1
